City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,codrington,-38.2667,141.9667,288.15,62,99,3.67,AU,1712876847
161,georgetown,5.4112,100.3354,300.9,83,20,0.0,MY,1712876847
162,tazovsky,67.4667,78.7,251.12,94,63,6.73,RU,1712876847
163,minas de marcona,-15.2119,-75.1103,291.05,76,6,6.93,PE,1712876847
164,tual,-5.6667,132.75,301.65,71,91,2.6,ID,1712876597
165,pangody,65.85,74.4859,257.72,80,100,11.3,RU,1712876665
166,ancud,-41.8697,-73.8203,283.72,74,0,1.82,CL,1712876848
167,fort st. john,56.2499,-120.8529,282.28,43,100,2.47,CA,1712876848
168,arteche,12.2645,125.4048,299.22,89,94,3.02,PH,1712876848
169,mitu,1.1983,-70.1733,297.92,97,100,0.72,CO,1712876848
170,tolanaro,-25.0319,46.9987,294.37,86,100,3.79,MG,1712876848
171,vernon,50.2581,-119.2691,288.31,47,100,1.34,CA,1712876848
172,puerto baquerizo moreno,-0.9,-89.6,300.7,78,40,5.66,EC,1712876628
173,benghazi,32.1167,20.0667,290.91,63,100,4.26,LY,1712876848
174,chakradharpur,22.7,85.6333,294.4,60,2,2.6,IN,1712876848
175,las khorey,11.1595,48.1967,300.97,76,16,1.52,SO,1712876848
176,keflavik,64.0049,-22.5624,276.39,87,100,7.2,IS,1712876849
177,baranovichi,53.1327,26.0139,281.24,67,91,3.76,BY,1712876849
178,koungheul,13.9833,-14.8,307.48,16,38,5.82,SN,1712876849
179,isabela,6.7085,121.9711,298.18,76,75,0.81,PH,1712876568
180,mount pearl,47.5166,-52.7813,275.29,80,1,2.88,CA,1712876849
181,okha,53.5739,142.9478,271.62,96,78,4.02,RU,1712876754
182,antsiranana,-12.2787,49.2917,298.01,92,49,1.9,MG,1712876850
183,hermanus,-34.4187,19.2345,286.93,73,28,7.43,ZA,1712876850
184,xiaoweizhai,26.1903,107.5125,291.29,99,100,1.04,CN,1712876850
185,sisimiut,66.9395,-53.6735,267.88,90,96,1.36,GL,1712876850
186,lata,40.1629,-8.3327,289.86,83,97,1.36,PT,1712876661
187,horta,38.5333,-28.6333,288.72,94,94,1.79,PT,1712876850
188,jamestown,42.097,-79.2353,290.92,96,100,5.14,US,1712876740
189,thunder bay,48.4001,-89.3168,283.14,87,100,5.14,CA,1712876799
190,klyuchi,52.2667,79.1667,270.4,71,77,3.47,RU,1712876851
191,essaouira,31.5125,-9.77,292.98,68,9,6.79,MA,1712876851
192,pikeville,37.4793,-82.5188,290.62,90,100,2.57,US,1712876553
193,guiren,33.6697,118.1889,288.23,89,81,2.24,CN,1712876852
194,manokwari,-0.8667,134.0833,300.2,76,95,0.81,ID,1712876652
195,lubana,56.9,26.7167,282.79,83,100,6.1,LV,1712876852
196,sile,41.1754,29.6133,285.52,91,0,1.75,TR,1712876852
197,yakeshi,49.2833,120.7333,276.98,86,86,1.71,CN,1712876852
198,saint-pierre,-21.3393,55.4781,298.97,73,0,2.57,RE,1712876852
199,port macquarie,-31.4333,152.9167,294.2,68,1,2.98,AU,1712876598
200,muisne,0.6,-80.0333,299.64,79,60,1.78,EC,1712876852
201,toamasina,-18.1667,49.3833,299.27,93,100,3.06,MG,1712876853
202,akobo,7.4344,3.9497,296.71,92,100,1.83,NG,1712876853
203,vorgashor,67.5833,63.95,263.6,87,100,9.85,RU,1712876853
204,pirallahi,40.4723,50.333,288.23,74,100,12.5,AZ,1712876853
205,na mom,6.9586,100.5568,298.06,94,20,2.06,TH,1712876853
206,meadow lakes,61.6247,-149.6011,278.55,56,100,3.09,US,1712876853
207,warman,52.3168,-106.5679,283.65,27,2,1.87,CA,1712876854
208,mantua,45.1667,10.7833,287.58,88,4,1.34,IT,1712876854
209,kotel'nikovo,47.6317,43.1461,290.21,57,0,2.35,RU,1712876854
210,krasnozerskoye,53.9828,79.2374,270.5,58,0,2.35,RU,1712876854
211,hilo,19.7297,-155.09,297.38,98,100,1.54,US,1712876852
212,labrador city,52.9463,-66.9114,277.1,70,100,4.63,CA,1712876854
213,country club estates,31.2127,-81.4643,299.16,50,0,10.8,US,1712876854
214,kerouane,9.2667,-9.0167,297.91,79,88,2.16,GN,1712876854
215,timbuktu,16.7735,-3.0074,304.79,11,87,5.89,ML,1712876854
216,asau,46.4333,26.4,286.53,89,25,1.93,RO,1712876854
217,beau vallon,-20.4189,57.6953,299.94,84,9,2.97,MU,1712876855
218,puerto ayora,-0.7393,-90.3518,302.13,98,57,2.68,EC,1712876715
219,tiksi,71.6872,128.8694,247.47,94,23,5.43,RU,1712876714
220,ust'-ilimsk,58.0006,102.6619,267.84,93,100,0.89,RU,1712876855
221,paradip garh,20.3167,86.6167,299.27,48,49,2.41,IN,1712876855
222,sijunjung,-0.6876,100.9537,295.02,94,100,0.49,ID,1712876855
223,trairi,-3.2778,-39.2689,298.49,92,99,2.25,BR,1712876855
224,sullivan,36.5168,-82.5332,290.73,87,100,3.09,US,1712876855
225,gagliano del capo,39.8442,18.3695,288.05,79,75,6.35,IT,1712876855
226,vilyuysk,63.7553,121.6247,254.26,96,68,2.68,RU,1712876856
227,dzilam gonzalez,21.2833,-88.9333,298.21,57,45,3.79,MX,1712876856
228,solnechnyy,50.7214,136.6319,277.06,46,10,1.91,RU,1712876856
229,bariadi,-2.8,33.9833,291.49,94,69,2.07,TZ,1712876856
230,lenino,45.2986,35.7771,286.14,69,10,3.37,UA,1712876856
231,colonia menno,-22.3667,-59.8167,294.36,95,100,4.93,PY,1712876856
232,kemijarvi,66.7131,27.4306,271.32,95,43,1.96,FI,1712876856
233,kiunga,-6.1219,141.2906,296.49,100,100,0.61,PG,1712876770
234,brookings,44.3114,-96.7984,285.34,53,75,10.29,US,1712876856
235,nagqu,31.5,92.0,271.02,53,100,3.23,CN,1712876718
236,akjoujt,19.6969,-14.4164,303.96,14,1,6.38,MR,1712876857
237,mandan,46.8267,-100.8896,286.38,34,40,5.14,US,1712876857
238,vallenar,-28.5708,-70.7581,293.37,54,100,2.06,CL,1712876857
239,parwanoo,30.8372,76.9614,292.87,27,29,3.9,IN,1712876857
240,tiznit,29.5833,-9.5,298.92,18,5,0.9,MA,1712876857
241,mawu,29.5923,107.3139,286.89,93,75,0.95,CN,1712876857
242,alaghsas,17.0187,8.0168,302.92,10,100,1.33,NE,1712876857
243,pil'na,55.5539,45.9219,282.53,72,31,2.91,RU,1712876858
244,klaksvik,62.2266,-6.589,280.66,86,92,11.19,FO,1712876858
245,san patricio,28.017,-97.5169,303.2,23,0,5.36,US,1712876661
246,ellsworth,44.5434,-68.4195,280.53,97,100,4.12,US,1712876858
247,mascota,20.5167,-104.7833,301.11,20,53,3.74,MX,1712876858
248,veraval,20.9,70.3667,297.6,84,9,4.56,IN,1712876858
249,paragominas,-2.9667,-47.4833,297.83,96,89,1.23,BR,1712876746
250,halifax,44.6453,-63.5724,279.09,79,100,1.79,CA,1712876814
251,khanty-mansiysk,61.0042,69.0019,269.32,86,75,6.0,RU,1712876598
252,mizdah,31.4451,12.9801,286.64,88,86,11.39,LY,1712876859
253,san pedro pochutla,15.7333,-96.4667,303.99,60,91,3.79,MX,1712876859
254,kiffa,16.6166,-11.4045,309.39,13,99,5.87,MR,1712876859
255,baruun-urt,46.6806,113.2792,281.52,51,100,1.99,MN,1712876859
256,mossel bay,-34.1831,22.146,288.44,72,0,2.58,ZA,1712876859
257,chilakalurupet,16.0833,80.1667,299.02,81,1,1.91,IN,1712876859
258,juneau,58.3019,-134.4197,280.05,65,75,5.66,US,1712876860
259,ofunato,39.0717,141.7167,284.85,81,100,1.01,JP,1712876860
260,ingeniero guillermo n. juarez,-23.9,-61.85,288.39,97,100,5.28,AR,1712876860
261,magugu,-4.0167,35.7667,293.35,95,98,1.05,TZ,1712876860
262,mejit,10.2753,170.8646,299.83,79,100,9.24,MH,1712876860
263,kingston,17.997,-76.7936,303.68,71,20,10.8,JM,1712876709
264,giovinazzo,41.1864,16.6674,288.82,74,0,3.13,IT,1712876860
265,kone,-21.0595,164.8658,296.33,87,100,0.01,NC,1712876615
266,acarau,-2.8856,-40.12,299.8,86,98,3.42,BR,1712876630
267,ambon,-3.6954,128.1814,303.08,95,40,1.54,ID,1712876861
268,winnipeg,49.8844,-97.147,284.14,62,75,4.63,CA,1712876519
269,mermoz boabab,14.7065,-17.4758,295.46,87,0,7.97,SN,1712876861
270,detroit lakes,46.8172,-95.8453,285.18,43,100,6.69,US,1712876606
271,taihecun,45.8,130.85,285.85,64,10,4.42,CN,1712876861
272,mana,5.6592,-53.7767,299.24,86,94,4.09,GF,1712876861
273,nemuro,43.3236,145.575,278.04,95,100,7.13,JP,1712876861
274,altai,46.3722,96.2583,273.37,62,40,5.95,MN,1712876862
275,naze,28.3667,129.4833,292.66,88,92,3.26,JP,1712876732
276,weno,7.4515,151.8468,302.12,89,100,4.63,FM,1712876749
277,ghat,24.9647,10.1728,298.15,18,1,6.24,LY,1712876653
278,kimberley,-28.7323,24.7623,284.07,42,0,5.39,ZA,1712876862
279,sumbe,-11.2061,13.8437,298.58,93,100,2.85,AO,1712876862
280,eastham,41.8301,-69.9739,286.45,96,100,5.14,US,1712876693
281,opuwo,-18.0607,13.84,293.97,50,38,0.39,NA,1712876758
282,ketchikan,55.3422,-131.6461,280.01,81,75,1.54,US,1712876862
283,taro,-8.3862,115.28,296.15,98,84,0.48,ID,1712876863
284,ad darb,17.7229,42.2526,301.63,67,34,3.71,SA,1712876863
285,remire-montjoly,4.9167,-52.2667,301.17,89,75,3.6,GF,1712876576
286,gouyave,12.1646,-61.7296,301.04,74,11,7.7,GD,1712876863
287,mamuju,-2.6748,118.8885,297.91,95,100,1.29,ID,1712876863
288,anadyr,64.75,177.4833,259.43,77,0,2.68,RU,1712876828
289,barleben,52.2019,11.6177,285.82,83,100,2.51,DE,1712876863
290,haiku-pauwela,20.9219,-156.3051,301.16,71,20,6.26,US,1712876863
291,palora,-1.7,-77.9333,299.21,95,81,0.07,EC,1712876863
292,sarandi del yi,-33.35,-55.6333,286.72,75,20,5.64,UY,1712876725
293,wagga wagga,-35.1167,147.3667,289.73,79,0,0.45,AU,1712876864
294,vienna,48.2085,16.3721,288.04,70,0,4.12,AT,1712876750
295,clarkston heights-vineland,46.3874,-117.083,293.82,51,0,1.54,US,1712876864
296,as salamiyah,35.0113,37.0532,285.92,90,1,1.83,SY,1712876864
297,arinos,-15.9169,-46.1056,297.61,74,37,1.28,BR,1712876586
298,kruisfontein,-34.0033,24.7314,286.97,75,3,3.16,ZA,1712876680
299,holualoa,19.6228,-155.9522,300.85,68,100,2.57,US,1712876647
300,pathein,16.7833,94.7333,299.36,81,54,2.89,MM,1712876580
301,baranchinskiy,58.1617,59.6991,281.43,91,100,6.32,RU,1712876865
302,porto novo,6.4965,2.6036,300.39,78,78,4.67,BJ,1712876865
303,egilsstadir,65.2653,-14.3948,273.1,100,100,2.57,IS,1712876611
304,sinabang,2.4803,96.3801,299.67,84,100,1.4,ID,1712876865
305,al jawf,29.5,38.75,291.9,36,0,2.49,SA,1712876865
306,santana,-0.0583,-51.1817,300.25,94,100,1.03,BR,1712876865
307,ta`u,-14.2336,-169.5144,302.13,78,5,4.6,AS,1712876865
308,walvis bay,-22.9575,14.5053,289.96,82,5,2.83,NA,1712876576
309,usinsk,65.9939,57.5281,274.86,99,100,10.28,RU,1712876865
310,octeville,49.6261,-1.6435,284.42,93,75,2.57,FR,1712876866
311,guiuan,11.0333,125.7247,300.4,77,97,3.6,PH,1712876866
312,nueva villa de padilla,24.0167,-98.7833,303.9,13,48,6.26,MX,1712876866
313,alice springs,-23.7,133.8833,291.05,39,4,1.34,AU,1712876657
314,el fasher,13.6279,25.3494,297.48,13,6,5.13,SD,1712876866
315,bakanas,44.8081,76.2772,281.27,72,100,9.35,KZ,1712876657
316,lichuan,30.3,108.85,283.0,92,70,0.73,CN,1712876719
317,port alfred,-33.5906,26.891,288.25,82,24,2.68,ZA,1712876866
318,yerofey pavlovich,53.9667,121.9667,274.87,91,100,2.5,RU,1712876866
319,raymondville,26.4815,-97.7831,304.41,20,10,4.97,US,1712876867
320,al kharijah,25.4514,30.5464,294.01,31,91,3.55,EG,1712876867
321,severo-yeniseyskiy,60.3725,93.0408,253.47,99,98,0.45,RU,1712876867
322,mandera,3.9366,41.867,303.82,55,84,3.15,KE,1712876867
323,berbesti,44.9833,23.8833,287.1,51,4,1.16,RO,1712876867
324,turan,16.0678,108.2208,298.14,88,40,1.54,VN,1712876867
325,colesberg,-30.72,25.0972,279.74,69,0,3.87,ZA,1712876867
326,pauls valley,34.7401,-97.2223,293.32,26,0,4.63,US,1712876867
327,mawlamyinegyunn,16.3833,95.2667,300.39,70,49,1.95,MM,1712876867
328,isangel,-19.55,169.2667,303.21,79,75,1.03,VU,1712876868
329,spratzern,48.1704,15.6184,284.72,99,44,2.0,AT,1712876868
330,berezovyy,51.6667,135.7,280.8,41,2,1.88,RU,1712876868
331,troitsk,54.0979,61.5773,280.2,77,86,7.1,RU,1712876868
332,amga,60.8953,131.9608,272.63,93,100,2.62,RU,1712876654
333,sao joao da barra,-21.6403,-41.0511,298.2,83,8,2.7,BR,1712876656
334,aral,40.5156,81.2636,289.8,94,8,3.32,CN,1712876868
335,touros,-5.1989,-35.4608,299.95,83,99,3.11,BR,1712876868
336,sosnovo-ozerskoye,52.5249,111.5418,273.16,76,74,0.83,RU,1712876869
337,kupang,-10.1667,123.5833,298.47,100,20,2.57,ID,1712876610
338,carnarvon,-24.8667,113.6333,294.42,65,72,8.99,AU,1712876869
339,shemordan,56.1856,50.3972,281.26,89,42,4.17,RU,1712876869
340,masaya sur,16.497,121.7456,297.95,72,63,0.76,PH,1712876869
341,nadym,65.5333,72.5167,260.35,89,100,13.69,RU,1712876869
342,palmer,42.1584,-72.3287,288.07,82,100,2.57,US,1712876601
343,al mijlad,11.0333,27.7333,300.87,11,6,6.9,SD,1712876869
344,balaipungut,1.05,101.2833,296.65,98,99,0.42,ID,1712876869
345,nantucket,41.2835,-70.0995,284.9,99,100,6.17,US,1712876602
346,caburan,5.9181,125.6411,298.78,80,100,3.91,PH,1712876869
347,tan-tan,28.438,-11.1032,297.41,30,0,3.9,MA,1712876870
348,nili,33.7218,66.1302,279.62,82,100,1.71,AF,1712876870
349,saldanha,-33.0117,17.9442,288.4,60,7,5.38,ZA,1712876870
350,fang,19.9169,99.2145,296.74,57,69,0.73,TH,1712876870
351,shiraoi,42.55,141.35,281.25,83,100,1.7,JP,1712876870
352,turochak,52.2576,87.1224,271.99,96,100,3.74,RU,1712876870
353,ibarreta,-25.2144,-59.8585,291.65,98,100,3.05,AR,1712876870
354,staunton,38.1496,-79.0717,292.09,94,100,5.14,US,1712876834
355,pinsk,52.1229,26.0951,281.29,63,40,3.09,BY,1712876778
356,xining,36.6167,101.7667,280.36,34,88,0.33,CN,1712876623
357,betio village,1.358,172.9211,304.17,77,96,3.3,KI,1712876871
358,orosei,40.3798,9.6929,284.39,68,52,3.12,IT,1712876871
359,magadan,59.5667,150.8,269.0,85,32,1.49,RU,1712876672
360,zwedru,6.0667,-8.1281,296.6,95,84,1.02,LR,1712876871
361,kaiyuan,23.6977,103.3037,292.3,84,23,2.94,CN,1712876732
362,ma'rib,15.4591,45.3253,301.85,31,14,2.72,YE,1712876871
363,toropets,56.4978,31.6353,281.93,62,99,5.34,RU,1712876871
364,aswan,24.0934,32.907,296.76,21,0,1.54,EG,1712876653
